region_id,region_name,area_id,office_code,memo,is_valid,,gov_error,
F_21_1435,𫙮魚坑段頂坪小段,F_21,FF,,1,,𣳈魚坑段頂坪小段,0
F_21_1436,𫙮魚坑段滴水子小段,F_21,FF,,1,,𣳈魚坑段滴水子小段,0
F_21_1437,𫙮魚坑段𫙮魚坑小段,F_21,FF,,1,,𣳈魚坑段𣳈魚坑小段,0
F_21_1438,𫙮魚坑段瑞工小段,F_21,FF,,1,,𣳈魚坑段瑞工小段,0
F_22_1465,石底段石笋尖小段,F_22,FF,,1,,石底段石凓尖小段,0
F_23_1498,石笋段,F_23,FF,,1,,石凓段,0
F_24_1548,田寮洋段嶐嶐小段,F_24,FF,,1,,田寮洋段𣘀𣘀小段,0
F_25_0916,下中股段焿子坪小段,F_25,FD,,1,,下中股段𨧤子坪小段,0
F_26_0960,下萬里加投段尪子上天小段,F_26,FD,,1,,下萬里加投段𨦪子上天小段,0
F_26_0973,下萬里加投段焿子坪頂小段,F_26,FD,,1,,下萬里加投段𨧤子坪頂小段,0
F_27_1142,水梘頭段百六戛小段,F_27,FE,,1,,水苮頭段百六戛小段,0
F_27_1143,水梘頭段社厝坑小段,F_27,FE,,1,,水苮頭段社厝坑小段,0
F_27_1144,水梘頭段瓦磘坑小段,F_27,FE,,1,,水苮頭段瓦𠐟坑小段,0
F_27_1145,水梘頭段鄒厝崙小段,F_27,FE,,1,,水苮頭段鄒厝崙小段,0
F_27_1146,水梘頭段山子頂小段,F_27,FE,,1,,水苮頭段山子頂小段,0
F_27_1147,水梘頭段山子邊小段,F_27,FE,,1,,水苮頭段山子邊小段,0
F_27_1148,水梘頭段破布子腳小段,F_27,FE,,1,,水苮頭段破布子腳小段,0
F_27_1149,水梘頭段大溪小段,F_27,FE,,1,,水苮頭段大溪小段,0
F_27_1150,水梘頭段楓樹湖小段,F_27,FE,,1,,水苮頭段楓樹湖小段,0
F_27_1151,水梘頭段南勢埔小段,F_27,FE,,1,,水苮頭段南勢埔小段,0
F_27_1152,水梘頭段白石腳小段,F_27,FE,,1,,水苮頭段白石腳小段,0
F_27_1153,水梘頭段埔子頂小段,F_27,FE,,1,,水苮頭段埔子頂小段,0
F_27_1189,灰磘子段番子田小段,F_27,FE,,1,,灰𠐟子段番子田小段,0
F_27_1190,灰磘子段石頭埔小段,F_27,FE,,1,,灰𠐟子段石頭埔小段,0
F_27_1191,灰磘子段公埔子小段,F_27,FE,,1,,灰𠐟子段公埔子小段,0
F_27_1192,灰磘子段田心子小段,F_27,FE,,1,,灰𠐟子段田心子小段,0
F_27_1193,灰磘子段八里堆小段,F_27,FE,,1,,灰𠐟子段八里堆小段,0
F_27_1194,灰磘子段後洲子小段,F_27,FE,,1,,灰𠐟子段後洲子小段,0
F_27_1195,灰磘子段新埔子小段,F_27,FE,,1,,灰𠐟子段新埔子小段,0
F_32_1269,大八里坌段𤩲瑪蘭坑小段,F_32,FE,,1,,大八里坌段𤦤瑪蘭坑小段,0
G_01_0326,四鬮段四鬮三小段,G_01,GB,,1,,四𤪦段四𤪦三小段,0
G_02_0358,三抱竹段打馬烟小段,G_02,GB,,1,,三抱竹段打馬煙小段,0
G_05_0453,洲子段蚊子烟埔小段,G_05,GB,,1,,洲子段蚊子煙埔小段,0
G_05_0501,蚊子烟埔段,G_05,GB,,1,,蚊子煙埔段,0
H_11_0627,犂頭洲段犂頭洲小段,H_11,HD,,1,,菍頭洲段菍頭洲小段,0
H_11_0642,槺榔段上槺榔小段,H_11,HD,,1,,𤥂榔段上𤥂榔小段,0
H_11_0643,槺榔段下槺榔小段,H_11,HD,,1,,𤥂榔段下𤥂榔小段,0
J_05_0280,犂頭山下段,J_05,JB,,1,,犁頭山下段,0
J_08_0522,橫山段蔗𫉾小段,J_08,JC,,1,,橫山段蔗廍小段,0
M_01_0055,新廍段,M_01,MA,,1,,新𠖎段,0
M_04_0407,竹圍子段硘磘小段,M_04,MD,更正,1,,竹圍子段况𠐟小段,0
M_07_0440,車輄寮段車輄寮小段,M_07,MD,,1,,車𠊠寮段車𠊠寮小段,0
M_07_0441,車輄寮段內湖小段,M_07,MD,,1,,車𠊠寮段內湖小段,0
M_09_0227,木屐囒段,M_09,MC,更正,1,,木屐𠎀段,0
M_12_0613,崁腳寮段,M_12,ME,增編,1,,崁脚寮段,0
M_13_0322,䓫萊段,M_13,MC,,1,,𠯢萊段,0
N_01_0021,牛稠子段下廍小段,N_01,NA,,1,,牛稠子段下𠖎小段,0
N_01_0025,阿夷段寶廍小段,N_01,NA,,1,,阿夷段寶𠖎小段,0
N_05_0501,東瓦磘厝段,N_05,ND,,1,,東瓦𠐟厝段,0
N_08_1005,𥕟磘段,N_08,NG,,1,,磘段,0
N_16_0368,瓦磘段西勢湖小段,N_16,NH,,1,,瓦𠐟段西勢湖小段,0
N_16_0369,廍子段,N_16,NH,,1,,𠖎子段,0
P_16_0445,十張犂段,P_16,PF,調整,1,,十張菍段,0
P_17_0682,瓦磘段,P_17,PE,,1,,瓦𠐟段,0
P_18_0640,萡子寮段,P_18,PE,,1,,徤子寮段,0
P_18_0758,萡港段,P_18,PE,,1,,徤港段,0
P_19_0732,椬北段,P_19,PE,,1,,𡧛北段,0
P_20_0668,欍子埔段,P_20,PE,,1,,萖子埔段,0
Q_02_0203,大槺榔段,Q_02,QB,,1,,大𤥂榔段,0
Q_02_0204,大槺榔段大鄉小段,Q_02,QB,,1,,大𤥂榔段大鄉小段,0
Q_02_0205,大槺榔段大葛小段,Q_02,QB,,1,,大𤥂榔段大葛小段,0
Q_02_0206,小槺榔段,Q_02,QB,,1,,小𤥂榔段,0
Q_02_0207,小槺榔段仁和小段,Q_02,QB,,1,,小𤥂榔段仁和小段,0
Q_02_0208,小槺榔段槺榔小段,Q_02,QB,,1,,小𤥂榔段𤥂榔小段,0
Q_02_0211,𧃽菜埔段,Q_02,QB,,1,,顬菜埔段,0
Q_02_0366,𧃽菜埔段永和小段,Q_02,QB,,1,,顬菜埔段永和小段,0
Q_02_0388,大槺榔段大溝小段,Q_02,QB,,1,,大𤥂榔段大溝小段,0
Q_03_0233,菜舖廍段,Q_03,QB,,1,,菜舖𠖎段,0
Q_03_0234,菜舖廍段菜舖廍小段,Q_03,QB,更正,1,,菜舖𠖎段菜舖𠖎小段,0
Q_03_0367,菜舖廍段新吉小段,Q_03,QB,,1,,菜舖𠖎段新吉小段,0
Q_05_0449,鴨母坔段鴨母坔小段,Q_05,QC,,1,,鴨母𢔓段鴨母𢔓小段,0
Q_05_0450,鴨母坔段雙福小段,Q_05,QC,,1,,鴨母𢔓段雙福小段,0
Q_05_0578,鴨母坔段文隆小段,Q_05,QC,,1,,鴨母𢔓段文隆小段,0
Q_09_1414,鰲皷段鰲皷小段,Q_09,QB,,1,,鰲鼓段鰲鼓小段,0
Q_11_0704,山子腳段,Q_11,QD,,1,,山子脚段,0
Q_11_0705,山子腳段山腳小段,Q_11,QD,,1,,山子脚段山脚小段,0
Q_11_0736,竹子腳段松竹小段,Q_11,QD,,1,,竹子脚段松竹小段,0
Q_14_0823,下六段公舘小段,Q_14,QD,更正,1,,下六段公泋小段,0
Q_14_0824,下六段司公廍小段,Q_14,QD,,1,,下六段司公𠖎小段,0
Q_14_0827,石硦段,Q_14,QD,,1,,石𠯿段,0
Q_15_0902,覆鐤金段,Q_15,QE,,1,,覆𤪱金段,0
Q_15_0913,羗子科段,Q_15,QE,,1,,蝽子科段,0
Q_17_0975,石壁腳段,Q_17,QE,,1,,石壁段,0
Q_18_0875,𦬬萊坑段,Q_18,QD,更正,1,,凢萊坑段,0
T_01_0049,灰磘段,T_01,TA,,1,,灰𠐟段,0
T_05_0077,興化廍段,T_05,TA,,1,,興化𠖎段,0
T_09_0206,三張廍段,T_09,TB,,1,,三張𠖎段,0
T_11_0214,埔羗崙段,T_11,TB,,1,,埔蝽崙段,0
T_13_0323,犂頭鏢段,T_13,TC,,1,,菍頭鏢段,0
T_17_0511,瓦磘子段,T_17,TD,,1,,瓦𠐟子段,0
T_24_0623,响林段,T_24,TE,更正,1,,𣾀林段,0
V_05_0316,加羅坂段,V_05,VD,調整,1,,加羅鍄段,0
V_08_0131,寧埔段胆𫆳小段,V_08,VB,,1,,寧埔段胆𧪄小段,0
Z_02_0018,坂里段,Z_02,ZA,,1,,鍄里段,1
